".","Freq"
"0.020833333333333",4
"0.125",2
"0.166666666666667",4
"0.25",1
"0.5",1
"1",43
"2",30
"3",21
"30",3
"4",6
"5",6
"6",5
"7",10
"8",3
"NR",7
"NR, most likely 10",2
"NR, most likely 3",2
