StudyIdStr,Experiment,NumberOfAnimals,Average,Vehicle.control.,reconciled
11660f81-c343-4396-a097-74ca3430d6fa,A,32,15.63,,x
1a12d870-e9b4-43c4-af98-a3f1b5caad5e,A,19,10.5263157894737,,x
2f3c1ffb-db00-4396-81d1-2051871f6170,A,34,29.4,,x
33be5e82-27b6-422f-9318-cdd8bef0fc9b,A,15,33.3,,x
3f09f535-cd4b-4f7d-bfc9-41abbf85dbef,A,10,10,,x
4e20f054-08ef-4296-994e-6ca213e76698,A,13,30.7692307692308,,x
7e7d3286-31d1-4376-8373-8445a381b577,A,43,18.6046511627907,,x
971d93e5-4b91-4cdc-884d-1069d7400db7,A,15,26.6666666666667,,x
c2fed96c-4b03-4ae9-907f-a7f58202e6fa,A,19,21.0526315789474,,x
d9b32b94-334f-4bf7-bf75-2b74b39c4d75,A,15,20,,x
d9e5f446-a472-40b8-a4b9-3ea1cd0cf8bf,A,14,7.14285714285714,,x
ef45a356-7026-45c3-ab9c-6d94465bb727,A,7,14.2857142857143,,x
ef4ad15c-3f9b-4efd-84a1-ab94609caceb,B,30,63.3333333333333,,x
f068ccce-fdb6-4e46-8644-69d64f427305,A,21,47,,x
