StudyIdStr,Experiment,NumberOfAnimals,Average,Vehicle.control.,reconciled
03958613-4da9-4de2-8e6b-f63c33a392e1,A,10,30,,x
11660f81-c343-4396-a097-74ca3430d6fa,B,9,11.1,DMSO,x
2f3c1ffb-db00-4396-81d1-2051871f6170,A,34,26.4,,x
3f09f535-cd4b-4f7d-bfc9-41abbf85dbef,A,10,10,,x
4c4e2785-7a37-4372-a212-00a99a93b34a,A,28,21.4285714285714,,x
4e20f054-08ef-4296-994e-6ca213e76698,A,13,23.0769230769231,,x
61702aff-9b39-42fe-8c00-c62c2bff42ae,B,10,40,"(distilled water, dimethyl sulfoxide, and polyethylene glycol 300=1:1:1, v/v ",x
971d93e5-4b91-4cdc-884d-1069d7400db7,A,15,26.6666666666667,,x
aadfb399-9468-4126-8bac-95f20fb9bf16,A,26,5.8,,x
d4d7776b-93ce-43d4-a9b4-4278088aa35f,A,30,13.3333333333333,PBS,x
d9b32b94-334f-4bf7-bf75-2b74b39c4d75,B,27,22.2222222222222,,
d9b32b94-334f-4bf7-bf75-2b74b39c4d75,B,25,24,NaCl 0.9% (100 µL per 10 g of body weight),
d9b32b94-334f-4bf7-bf75-2b74b39c4d75,rec,52,23.0769230769231,CAVE: both,x
d9e5f446-a472-40b8-a4b9-3ea1cd0cf8bf,A,14,7.14285714285714,,x
e8f3a66e-4af1-4db5-94f6-57c198c2ef32,A,35,25.7142857142857,PBS,
e8f3a66e-4af1-4db5-94f6-57c198c2ef32,B,17,17.6470588235294,PBS,
e8f3a66e-4af1-4db5-94f6-57c198c2ef32,rec,52,23.0769230769231,PBS,x
ef45a356-7026-45c3-ab9c-6d94465bb727,A,6,0,,x
ef4ad15c-3f9b-4efd-84a1-ab94609caceb,B,30,43.3333333333333,,x
f068ccce-fdb6-4e46-8644-69d64f427305,A,21,35,,x
