StudyIdStr,Experiment,NumberOfAnimals,Time,Average,Vehicle.control.
61702aff-9b39-42fe-8c00-c62c2bff42ae,C,12,1,8.7,"(distilled water, dimethyl sulfoxide, and polyethylene glycol 300=1:1:1, v/v "
61702aff-9b39-42fe-8c00-c62c2bff42ae,B,18,1,9,"(distilled water, dimethyl sulfoxide, and polyethylene glycol 300=1:1:1, v/v "
61702aff-9b39-42fe-8c00-c62c2bff42ae,combined,30,1,8.88,"(distilled water, dimethyl sulfoxide, and polyethylene glycol 300=1:1:1, v/v "
e8f3a66e-4af1-4db5-94f6-57c198c2ef32,A,18,1,11,PBS
e8f3a66e-4af1-4db5-94f6-57c198c2ef32,B,12,1,11,PBS
e8f3a66e-4af1-4db5-94f6-57c198c2ef32,combined,30,1,11,PBS
